Code Domaine;Domaine;Code zone;Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole;Note
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;116;Pommes de terre;2008;2008;ha;263000;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;116;Pommes de terre;2008;2008;kg/ha;4201.5;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;116;Pommes de terre;2008;2008;tonnes;1105000;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;125;Manioc, frais;2008;2008;ha;3778000;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;125;Manioc, frais;2008;2008;kg/ha;11800.4;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;125;Manioc, frais;2008;2008;tonnes;44582000;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;27;Riz;2008;2008;ha;2382000;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;27;Riz;2008;2008;kg/ha;1754.4;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;27;Riz;2008;2008;tonnes;4179000;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;388;Tomates, fraiches;2008;2008;ha;265000;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;388;Tomates, fraiches;2008;2008;kg/ha;6882.4;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;388;Tomates, fraiches;2008;2008;tonnes;1823844;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;56;Maïs;2008;2008;ha;3845000;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;56;Maïs;2008;2008;kg/ha;1957.1;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;56;Maïs;2008;2008;tonnes;7525000;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5312;Superficie récoltée;116;Pommes de terre;2008;2008;ha;55000;E;Valeur estimée;
QCL;Cultures et produits animaux;32;Cameroun;5412;Rendement;116;Pommes de terre;2008;2008;kg/ha;2636.7;E;Valeur estimée;
QCL;Cultures et produits animaux;32;Cameroun;5510;Production;116;Pommes de terre;2008;2008;tonnes;145018;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5312;Superficie récoltée;125;Manioc, frais;2008;2008;ha;205910;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5412;Rendement;125;Manioc, frais;2008;2008;kg/ha;14000;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5510;Production;125;Manioc, frais;2008;2008;tonnes;2882734;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5312;Superficie récoltée;27;Riz;2008;2008;ha;72012;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5412;Rendement;27;Riz;2008;2008;kg/ha;1000;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5510;Production;27;Riz;2008;2008;tonnes;72009;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5312;Superficie récoltée;388;Tomates, fraiches;2008;2008;ha;43820;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5412;Rendement;388;Tomates, fraiches;2008;2008;kg/ha;13058.4;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5510;Production;388;Tomates, fraiches;2008;2008;tonnes;572219;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5312;Superficie récoltée;56;Maïs;2008;2008;ha;697416;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5412;Rendement;56;Maïs;2008;2008;kg/ha;2000;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5510;Production;56;Maïs;2008;2008;tonnes;1394832;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5312;Superficie récoltée;116;Pommes de terre;2008;2008;ha;853;I;Valeur imputée;
QCL;Cultures et produits animaux;37;République centrafricaine;5412;Rendement;116;Pommes de terre;2008;2008;kg/ha;1346.3;E;Valeur estimée;
QCL;Cultures et produits animaux;37;République centrafricaine;5510;Production;116;Pommes de terre;2008;2008;tonnes;1148.96;I;Valeur imputée;
QCL;Cultures et produits animaux;37;République centrafricaine;5312;Superficie récoltée;125;Manioc, frais;2008;2008;ha;207252;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5412;Rendement;125;Manioc, frais;2008;2008;kg/ha;3000;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5510;Production;125;Manioc, frais;2008;2008;tonnes;621757;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5312;Superficie récoltée;27;Riz;2008;2008;ha;25314;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5412;Rendement;27;Riz;2008;2008;kg/ha;1500;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5510;Production;27;Riz;2008;2008;tonnes;37971;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5312;Superficie récoltée;56;Maïs;2008;2008;ha;172665;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5412;Rendement;56;Maïs;2008;2008;kg/ha;850;A;Chiffre officiel;
QCL;Cultures et produits animaux;37;République centrafricaine;5510;Production;56;Maïs;2008;2008;tonnes;146765;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5312;Superficie récoltée;116;Pommes de terre;2008;2008;ha;5000;E;Valeur estimée;
QCL;Cultures et produits animaux;39;Tchad;5412;Rendement;116;Pommes de terre;2008;2008;kg/ha;8440;E;Valeur estimée;
QCL;Cultures et produits animaux;39;Tchad;5510;Production;116;Pommes de terre;2008;2008;tonnes;42200;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5312;Superficie récoltée;125;Manioc, frais;2008;2008;ha;30891;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5412;Rendement;125;Manioc, frais;2008;2008;kg/ha;5217.9;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5510;Production;125;Manioc, frais;2008;2008;tonnes;161187;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5312;Superficie récoltée;27;Riz;2008;2008;ha;110854;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5412;Rendement;27;Riz;2008;2008;kg/ha;1569.6;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5510;Production;27;Riz;2008;2008;tonnes;173992;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5312;Superficie récoltée;56;Maïs;2008;2008;ha;235082;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5412;Rendement;56;Maïs;2008;2008;kg/ha;961.3;A;Chiffre officiel;
QCL;Cultures et produits animaux;39;Tchad;5510;Production;56;Maïs;2008;2008;tonnes;225993;A;Chiffre officiel;
QCL;Cultures et produits animaux;61;Guinée équatoriale;5312;Superficie récoltée;125;Manioc, frais;2008;2008;ha;21239;I;Valeur imputée;
QCL;Cultures et produits animaux;61;Guinée équatoriale;5412;Rendement;125;Manioc, frais;2008;2008;kg/ha;2866.5;E;Valeur estimée;
QCL;Cultures et produits animaux;61;Guinée équatoriale;5510;Production;125;Manioc, frais;2008;2008;tonnes;60882.14;I;Valeur imputée;
QCL;Cultures et produits animaux;74;Gabon;5312;Superficie récoltée;125;Manioc, frais;2008;2008;ha;48618;I;Valeur imputée;
QCL;Cultures et produits animaux;74;Gabon;5412;Rendement;125;Manioc, frais;2008;2008;kg/ha;5070.2;E;Valeur estimée;
QCL;Cultures et produits animaux;74;Gabon;5510;Production;125;Manioc, frais;2008;2008;tonnes;246504.48;I;Valeur imputée;
QCL;Cultures et produits animaux;74;Gabon;5312;Superficie récoltée;27;Riz;2008;2008;ha;519;I;Valeur imputée;
QCL;Cultures et produits animaux;74;Gabon;5412;Rendement;27;Riz;2008;2008;kg/ha;2472.4;E;Valeur estimée;
QCL;Cultures et produits animaux;74;Gabon;5510;Production;27;Riz;2008;2008;tonnes;1282.79;I;Valeur imputée;
QCL;Cultures et produits animaux;74;Gabon;5312;Superficie récoltée;388;Tomates, fraiches;2008;2008;ha;41;I;Valeur imputée;
QCL;Cultures et produits animaux;74;Gabon;5412;Rendement;388;Tomates, fraiches;2008;2008;kg/ha;8501.7;E;Valeur estimée;
QCL;Cultures et produits animaux;74;Gabon;5510;Production;388;Tomates, fraiches;2008;2008;tonnes;346.52;I;Valeur imputée;
QCL;Cultures et produits animaux;74;Gabon;5312;Superficie récoltée;56;Maïs;2008;2008;ha;22000;E;Valeur estimée;
QCL;Cultures et produits animaux;74;Gabon;5412;Rendement;56;Maïs;2008;2008;kg/ha;1591.1;E;Valeur estimée;
QCL;Cultures et produits animaux;74;Gabon;5510;Production;56;Maïs;2008;2008;tonnes;35003.96;I;Valeur imputée;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;116;Pommes de terre;2009;2009;ha;250000;E;Valeur estimée;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;116;Pommes de terre;2009;2009;kg/ha;4000;E;Valeur estimée;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;116;Pommes de terre;2009;2009;tonnes;1000000;E;Valeur estimée;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;125;Manioc, frais;2009;2009;ha;3129030;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;125;Manioc, frais;2009;2009;kg/ha;11767.9;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;125;Manioc, frais;2009;2009;tonnes;36822248;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;27;Riz;2009;2009;ha;1836880;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;27;Riz;2009;2009;kg/ha;1930.6;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;27;Riz;2009;2009;tonnes;3546250;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;388;Tomates, fraiches;2009;2009;ha;270000;E;Valeur estimée;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;388;Tomates, fraiches;2009;2009;kg/ha;6481.5;E;Valeur estimée;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;388;Tomates, fraiches;2009;2009;tonnes;1750000;E;Valeur estimée;
QCL;Cultures et produits animaux;159;Nigéria;5312;Superficie récoltée;56;Maïs;2009;2009;ha;3350560;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5412;Rendement;56;Maïs;2009;2009;kg/ha;2196.1;A;Chiffre officiel;
QCL;Cultures et produits animaux;159;Nigéria;5510;Production;56;Maïs;2009;2009;tonnes;7358260;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5312;Superficie récoltée;116;Pommes de terre;2009;2009;ha;58000;E;Valeur estimée;
QCL;Cultures et produits animaux;32;Cameroun;5412;Rendement;116;Pommes de terre;2009;2009;kg/ha;2875.4;E;Valeur estimée;
QCL;Cultures et produits animaux;32;Cameroun;5510;Production;116;Pommes de terre;2009;2009;tonnes;166772;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5312;Superficie récoltée;125;Manioc, frais;2009;2009;ha;239418;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5412;Rendement;125;Manioc, frais;2009;2009;kg/ha;13952.8;A;Chiffre officiel;
QCL;Cultures et produits animaux;32;Cameroun;5510;Production;125;Manioc, frais;2009;2009;tonnes;3340562;A;Chiffre officiel;
